file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,137,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,20
style.css,138,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,39
style.css,139,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,140,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,141,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,9
style.css,142,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,19
style.css,143,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,2
style.css,144,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,2,53
style.css,145,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,2,49
style.css,146,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,0
style.css,147,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,148,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,149,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,49
style.css,150,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,30
style.css,151,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,65
style.css,152,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,56
style.css,153,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,53
style.css,154,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,155,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,156,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,52
style.css,157,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,2
style.css,158,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,41
style.css,159,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,160,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,161,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,58
style.css,162,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,2
style.css,163,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,49
style.css,164,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,165,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,166,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,43
style.css,167,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,23
style.css,168,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,25
style.css,169,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,21
style.css,170,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,25
style.css,171,css,4de84f68,sopannair,2025-10-24,23:27:10,-07:00,2025-10-24T23:27:10-07:00,0,0
style.css,172,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,24
style.css,173,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,17
style.css,174,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,12
style.css,175,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,63
style.css,176,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,10
style.css,177,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,178,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,179,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,59
style.css,180,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,21
style.css,181,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,10
style.css,182,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,57
style.css,183,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,43
style.css,184,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,20
style.css,185,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,13
style.css,186,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,187,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,188,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,38
style.css,189,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,16
style.css,190,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,12
style.css,191,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,21
style.css,192,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,29
style.css,193,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,10
style.css,194,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,195,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,196,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,16
style.css,197,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,13
style.css,198,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,16
style.css,199,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,63
style.css,200,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,17
style.css,201,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,15
style.css,202,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,203,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,40
style.css,204,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,10
style.css,205,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,12
